Clearingnummer;Aktör;BIC;"IBAN ID";"Konto-typ";"Metod IBAN konvertering"
1100 - 1199;Nordea;NDEASESS;300;1:1;1
1200 - 1399;Danske Bank ;DABASESX;120;1:1;1
1400 - 2099;Nordea;NDEASESS;300;1:1;1
2110 - 2119;Juni Technology AB ;JUNTSEG2;211;1:1;1
2120 - 2129;Steven AB;SVVVSESS;212;1:1;1
2130 - 2139;Zimpler AB;ZIMPSES2;213;1:1;1
2300 - 2399;Ålandsbanken;AABASESS;230;1:2;1
2400 - 2499;Danske Bank;DABASESX;120;1:1;1
3000 - 3299;Nordea;NDEASESS;300;1:1;1
3300 - 3300;Nordea;NDEASESS;300;2:1;2
3301 - 3399;Nordea;NDEASESS;300;1:1;1
3400 - 3409;Länsförsäkringar Bank;ELLFSESS;902;1:1;1
3410 - 3781;Nordea;NDEASESS;300;1:1;1
3782 - 3782;Nordea;NDEASESS;300;2:1;2
3783 - 3999;Nordea;NDEASESS;300;1:1;1
4000 - 4999;Nordea;NDEASESS;300;1:2;1
5000 - 5999;SEB;ESSESESS;500;1:1;1
6000 - 6999;Handelsbanken;HANDSESS;600;2:2;2
7000 - 7999;Swedbank;SWEDSESS;800;1:1;1
8000 - 8999;Swedbank;SWEDSESS;800;2:3;3
9020 - 9029;Länsförsäkringar Bank;ELLFSESS;902;1:2;1
9040 - 9049;Citibank (filial);CITISESX;904;1:2;1
9060 - 9069;Länsförsäkringar Bank;ELLFSESS;902;1:1;1
9070 - 9079;Multitude Bank plc.;-;907;1:1;1
9100 - 9109;Nordnet Bank;NNSESES1;910;1:2;1
9120 - 9124;SEB;ESSESESS;500;1:1;1
9130 - 9149;SEB;ESSESESS;500;1:1;1
9150 - 9169;Skandiabanken;SKIASESS;915;1:2;1
9170 - 9179;Ikanobanken;IKANSE21;917;1:1;1
9180 - 9189;Danske Bank;DABASESX;918;2:1;1
9190 - 9199;DNB Bank ASA, filial Sverige;DNBASESX;919;1:2;1
9230 - 9239;Marginalen Bank;MARGSESS;923;1:1;1
9250 - 9259;SBAB Bank;SBAVSESS;925;1:1;1
9270 - 9279;ICA Banken;IBCASES1;927;1:1;1
9280 - 9289;Resurs Bank AB;RESUSE21;928;1:1;1
9300 - 9349;Swedbank;SWEDSESS;930;2:1;1
9390 - 9399;Landshypotek;LAHYSESS;939;1:2;1
9400 - 9449;Forex Bank;FORXSES1;940;1:1;1
9460 - 9469;Santander Consumer Bank ;BSNOSESS;946;1:1;1
9470 - 9479;BNP Paribas;FTSBSESS;947;1:2;1
9500 - 9549;Nordea (Plusgirot);NDEASESS;950;2:3;3
9550 - 9564;Avanza Bank;AVANSES1;955;1:2;1
9565 - 9569;Avanza Bank;AVANSES1;955;2:4;4
9570 - 9579;Sparbanken Syd;SPSDSE23;957;2:1;2
9580 - 9589;Aion Bank;-;958;1:1;1
9590 - 9599;EP Bank ;ERPFSES2;959;1:2;1
9600 - 9609;Banking Circle;BCIRSE22XXX;960;2:4;4
9630 - 9639;Lån & Spar Bank A/S, filial;LOSADKKK;963;1:1;1
9640 - 9649;NOBA Bank Group;NOFBSES1;964;1:2;1
9650 - 9659;MedMera Bank AB;MEMMSE21;965;1:1;1
9660 - 9669;Svea Bank;SVEASES1;966;1:2;1
9670 - 9679;JAK Medlemsbank;JAKMSE22;967;1:2;1
9680 - 9689;Enity Bank Group;BSTPSESS;968;1:1;1
9700 - 9709;Ekobanken;EKMLSE21;970;1:2;1
9710 - 9719;Lunar Bank ;-;971;1:2;1
9750 - 9759;Northmill AB;NOHLSESS;975;1:2;1
9780 - 9789;Klarna Bank;KLRNSESS;978;1:2;1
9960 - 9969;Nordea (Plusgirot);NDEASESS;950;2:3;3
;;;;;
